,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
76,"Johor Bahru, Johor, Malaysia",10/1/2019,31.0,25.3,27.4,36.1,22.0,10.3,147.58,19.7,5.4,45.9,81.48,"Rain, Partially cloudy"
77,"Johor Bahru, Johor, Malaysia",10/12/2019,32.0,26.1,28.1,38.1,0.0,7.9,71.46,19.7,5.8,50.0,79.07,Partially cloudy
78,"Johor Bahru, Johor, Malaysia",10/14/2019,34.3,26.1,28.9,38.9,0.0,8.7,85.38,21.9,6.0,51.5,74.66,Partially cloudy
79,"Johor Bahru, Johor, Malaysia",10/22/2019,28.0,25.0,26.6,31.9,37.0,9.2,213.13,20.8,5.4,54.7,88.09,"Rain, Partially cloudy"
80,"Johor Bahru, Johor, Malaysia",11/1/2019,32.1,24.6,28.0,36.9,0.0,10.6,218.04,42.5,6.0,52.2,75.54,Partially cloudy
81,"Johor Bahru, Johor, Malaysia",11/8/2019,31.1,23.9,27.7,33.9,0.0,11.7,215.42,20.8,5.7,47.9,75.73,Partially cloudy
82,"Johor Bahru, Johor, Malaysia",11/10/2019,34.1,25.1,29.2,39.7,0.0,10.9,211.75,23.0,6.1,51.2,68.73,Partially cloudy
83,"Johor Bahru, Johor, Malaysia",12/2/2019,31.4,24.1,26.7,37.4,8.0,8.7,200.33,21.9,5.7,53.9,86.33,"Rain, Partially cloudy"
84,"Johor Bahru, Johor, Malaysia",12/4/2019,31.8,26.1,28.3,36.2,0.0,18.6,23.83,24.2,6.2,51.1,73.18,Partially cloudy
85,"Johor Bahru, Johor, Malaysia",12/7/2019,30.0,26.1,28.0,33.7,0.0,19.2,27.5,30.0,6.2,51.5,73.24,Partially cloudy
86,"Johor Bahru, Johor, Malaysia",1/10/2020,31.3,25.3,27.4,36.3,0.0,10.7,169.54,19.7,6.2,55.3,81.66,Partially cloudy
87,"Johor Bahru, Johor, Malaysia",01/28/2020,32.6,25.7,28.6,40.0,0.0,10.0,53.17,18.3,6.1,55.9,78.82,Partially cloudy
88,"Johor Bahru, Johor, Malaysia",01/29/2020,29.8,24.3,26.6,36.3,38.0,11.8,138.5,24.2,5.3,54.6,89.29,"Rain, Partially cloudy"
89,"Johor Bahru, Johor, Malaysia",2/5/2020,32.6,24.7,27.9,36.6,0.0,14.3,30.54,21.9,6.2,42.8,73.41,Partially cloudy
90,"Johor Bahru, Johor, Malaysia",2/9/2020,29.3,24.1,26.7,33.6,9.8,9.9,234.25,18.3,5.9,56.4,83.38,"Rain, Partially cloudy"
91,"Johor Bahru, Johor, Malaysia",02/14/2020,32.9,25.1,28.4,38.8,0.0,12.8,40.13,21.9,6.2,60.2,78.49,Partially cloudy
92,"Johor Bahru, Johor, Malaysia",02/22/2020,31.0,25.9,28.0,36.1,0.0,19.5,31.79,28.9,6.2,57.6,77.73,Partially cloudy
93,"Johor Bahru, Johor, Malaysia",02/24/2020,29.9,25.3,27.1,35.2,5.2,16.9,31.17,28.9,6.0,54.3,83.31,"Rain, Partially cloudy"
94,"Johor Bahru, Johor, Malaysia",02/29/2020,32.4,25.1,28.3,36.7,0.0,15.3,31.79,26.4,6.2,48.1,74.08,Partially cloudy
95,"Johor Bahru, Johor, Malaysia",03/26/2020,33.4,26.0,29.2,39.8,0.0,13.4,41.58,19.7,6.2,56.2,75.76,Partially cloudy
96,"Johor Bahru, Johor, Malaysia",4/5/2020,33.6,26.4,28.8,42.0,0.0,12.5,65.79,21.9,6.0,50.4,79.0,Partially cloudy
97,"Johor Bahru, Johor, Malaysia",04/20/2020,34.4,26.9,30.3,40.9,0.0,10.9,60.58,18.3,6.2,54.5,72.67,Partially cloudy
98,"Johor Bahru, Johor, Malaysia",04/22/2020,34.4,27.1,29.6,40.2,0.0,9.2,85.25,20.8,6.2,47.4,77.73,Partially cloudy
99,"Johor Bahru, Johor, Malaysia",5/6/2020,31.1,24.4,28.3,39.3,4.1,10.4,175.04,24.2,6.1,54.3,83.76,"Rain, Partially cloudy"
100,"Johor Bahru, Johor, Malaysia",5/11/2020,32.3,26.4,29.1,42.0,24.0,8.9,115.0,21.9,5.9,54.1,82.82,"Rain, Partially cloudy"
101,"Johor Bahru, Johor, Malaysia",05/13/2020,30.1,25.7,28.1,35.6,8.2,9.5,136.13,21.9,6.0,56.1,80.53,"Rain, Partially cloudy"
102,"Johor Bahru, Johor, Malaysia",05/15/2020,33.6,27.0,29.8,41.0,0.0,10.5,135.13,31.1,6.1,50.4,76.11,Partially cloudy
103,"Johor Bahru, Johor, Malaysia",05/21/2020,33.7,26.3,29.0,42.9,0.0,9.2,164.63,23.0,6.1,51.7,80.26,Partially cloudy
104,"Johor Bahru, Johor, Malaysia",05/26/2020,33.0,26.4,29.3,40.1,1.4,10.3,133.42,18.3,6.1,55.8,78.86,"Rain, Partially cloudy"
105,"Johor Bahru, Johor, Malaysia",05/27/2020,30.9,25.7,28.0,38.7,114.0,6.5,123.21,21.9,6.1,56.0,85.92,"Rain, Partially cloudy"
106,"Johor Bahru, Johor, Malaysia",05/31/2020,32.7,26.3,28.5,39.8,0.0,10.8,113.71,25.3,6.0,45.8,80.21,Partially cloudy
107,"Johor Bahru, Johor, Malaysia",6/2/2020,33.0,25.0,28.4,39.1,40.0,7.2,81.96,20.8,6.1,50.4,79.71,"Rain, Partially cloudy"
108,"Johor Bahru, Johor, Malaysia",6/3/2020,31.9,26.3,28.8,39.4,2.0,9.7,105.75,20.8,6.2,53.5,79.03,"Rain, Partially cloudy"
109,"Johor Bahru, Johor, Malaysia",6/4/2020,32.1,25.7,28.6,38.2,4.0,11.4,177.13,27.7,5.8,49.5,78.94,"Rain, Partially cloudy"
110,"Johor Bahru, Johor, Malaysia",6/5/2020,30.4,25.3,28.0,36.6,3.0,11.3,227.75,25.3,6.1,53.1,81.39,"Rain, Partially cloudy"
111,"Johor Bahru, Johor, Malaysia",6/7/2020,32.9,26.4,29.3,40.2,0.5,10.4,132.33,18.3,5.8,54.6,77.77,"Rain, Partially cloudy"
112,"Johor Bahru, Johor, Malaysia",6/8/2020,32.7,27.3,29.0,40.4,18.0,6.9,72.04,30.0,6.0,52.1,80.23,"Rain, Partially cloudy"
113,"Johor Bahru, Johor, Malaysia",6/9/2020,32.7,26.3,29.6,39.8,0.0,10.7,108.83,20.8,6.2,51.5,77.6,Partially cloudy
114,"Johor Bahru, Johor, Malaysia",6/10/2020,32.6,25.9,29.2,40.4,0.0,12.5,122.58,28.9,6.0,51.9,78.97,Partially cloudy
115,"Johor Bahru, Johor, Malaysia",6/11/2020,33.4,25.1,28.5,41.5,0.0,6.8,77.92,28.9,6.1,54.0,81.15,Partially cloudy
116,"Johor Bahru, Johor, Malaysia",6/12/2020,31.0,26.3,28.4,37.9,9.0,10.1,147.79,20.8,5.9,51.9,83.98,"Rain, Partially cloudy"
117,"Johor Bahru, Johor, Malaysia",06/13/2020,27.1,25.0,25.9,31.4,15.3,9.4,192.67,27.7,5.8,50.8,90.75,"Rain, Partially cloudy"
118,"Johor Bahru, Johor, Malaysia",06/14/2020,32.0,25.0,27.7,39.4,0.0,9.0,177.42,24.2,6.1,52.7,84.38,Partially cloudy
119,"Johor Bahru, Johor, Malaysia",06/15/2020,32.7,27.1,29.4,40.6,0.0,9.5,143.88,30.0,6.1,50.0,78.86,Partially cloudy
120,"Johor Bahru, Johor, Malaysia",06/16/2020,30.9,27.0,28.3,36.8,7.0,8.2,71.96,28.9,6.0,52.4,82.65,"Rain, Partially cloudy"
121,"Johor Bahru, Johor, Malaysia",06/17/2020,28.6,25.6,26.8,33.5,5.0,7.7,209.04,20.8,5.6,47.5,87.87,"Rain, Partially cloudy"
