,Name,Date time,Prediction,color_code
138,"Selangor, Malaysia",13/10/2021,25.05251503,#000000
139,"Selangor, Malaysia",14/10/2021,24.89602852,#000000
140,"Selangor, Malaysia",15/10/2021,25.37436485,#000000
141,"Selangor, Malaysia",16/10/2021,25.01030159,#000000
142,"Selangor, Malaysia",17/10/2021,25.26274109,#000000
143,"Selangor, Malaysia",18/10/2021,24.9972477,#000000
144,"Selangor, Malaysia",19/10/2021,25.39391136,#000000
145,"Selangor, Malaysia",20/10/2021,25.27728653,#000000
146,"Selangor, Malaysia",21/10/2021,25.11473846,#000000
147,"Selangor, Malaysia",22/10/2021,25.58475685,#000000
148,"Selangor, Malaysia",23/10/2021,25.21018028,#000000
149,"Selangor, Malaysia",24/10/2021,25.44999123,#000000
150,"Selangor, Malaysia",25/10/2021,25.1698494,#000000
151,"Selangor, Malaysia",26/10/2021,25.5499649,#000000
152,"Selangor, Malaysia",27/10/2021,25.4150238,#000000
153,"Selangor, Malaysia",28/10/2021,25.23253632,#000000
154,"Selangor, Malaysia",29/10/2021,25.68116379,#000000
155,"Selangor, Malaysia",30/10/2021,25.28391647,#000000
156,"Selangor, Malaysia",31/10/2021,25.49997139,#000000
157,"Selangor, Malaysia",1/11/2021,25.19518089,#000000
158,"Selangor, Malaysia",2/11/2021,25.54996872,#000000
159,"Selangor, Malaysia",3/11/2021,25.38922882,#000000
160,"Selangor, Malaysia",4/11/2021,25.18069649,#000000
161,"Selangor, Malaysia",5/11/2021,25.6032505,#000000
162,"Selangor, Malaysia",6/11/2021,25.18012238,#000000
163,"Selangor, Malaysia",7/11/2021,25.37070656,#000000
164,"Selangor, Malaysia",8/11/2021,25.04107857,#000000
165,"Selangor, Malaysia",9/11/2021,25.37186432,#000000
166,"Selangor, Malaysia",10/11/2021,25.18816948,#000000
167,"Selangor, Malaysia",11/11/2021,24.95791626,#000000
168,"Selangor, Malaysia",12/11/2021,25.36016846,#000000
